{'01:25:50 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'01:35:50 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'01:45:50 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'01:55:50 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'02:05:50 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'02:15:50 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'02:25:50 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'02:35:50 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'02:45:50 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'02:55:50 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'03:05:50 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'03:15:50 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'03:25:50 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'03:35:50 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'03:45:51 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'03:55:51 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'04:05:51 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'04:15:51 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'04:25:51 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'04:35:51 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'04:45:51 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'04:55:51 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'05:05:51 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'05:15:51 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'05:25:51 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'05:35:51 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'05:45:51 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'05:55:51 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'06:05:51 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'06:15:51 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'06:25:51 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'06:35:52 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'06:45:52 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'06:55:52 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'07:05:52 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
