{'19:14:01 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:15:02 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:16:02 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:17:02 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:18:03 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:19:03 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:20:03 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:21:03 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:22:04 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:23:04 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:24:04 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:25:04 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:26:05 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:27:05 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:28:05 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:29:06 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:30:06 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:31:06 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:32:06 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:33:07 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:34:07 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:35:07 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:36:08 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:37:08 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:38:08 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:39:09 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:40:10 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:41:11 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:42:12 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:43:13 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:44:14 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:45:14 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:46:15 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:47:15 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:48:15 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:49:16 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:50:16 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:51:16 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:52:17 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:53:17 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:54:17 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:55:18 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:56:18 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:57:18 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:58:19 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'19:59:19 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:00:19 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:01:19 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:02:20 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:03:20 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:04:20 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:05:21 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:06:21 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:07:21 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:08:21 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:09:22 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:10:22 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:11:22 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:12:23 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:13:23 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:14:23 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:15:23 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:16:24 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:17:24 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:18:24 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:19:24 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:20:25 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:21:25 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:22:25 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:23:26 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
